Datetime_Kyiv,Trend_%,Close_Price,Status,Direction,UA_Hour,Swept_AL_Into_FVG,1h_Bullish_Flip,Swept_AH_Into_FVG,1h_Bearish_Flip
2015-02-06 17:00:00,66.1,1.52707,True,Long,17,1.0,1.0,,
2015-02-17 14:00:00,55.4,1.53598,True,Short,14,,,1.0,1.0
2015-02-20 12:00:00,61.8,1.53697,True,Long,12,1.0,1.0,,
2015-04-23 12:00:00,89.8,1.50015,True,Long,12,1.0,1.0,,
2015-06-18 11:00:00,93.2,1.58867,True,Long,11,1.0,1.0,,
2015-08-24 11:00:00,85.2,1.56687,True,Long,11,1.0,1.0,,
2015-10-08 18:00:00,57.3,1.5295,True,Long,18,1.0,1.0,,
2016-01-04 13:00:00,25.0,1.47685,True,Short,13,,,1.0,1.0
2016-02-17 13:00:00,0.0,1.43108,True,Short,13,,,1.0,1.0
2016-07-11 13:00:00,25.0,1.2886,True,Long,13,1.0,1.0,,
2016-11-17 11:00:00,26.4,1.24686,True,Short,11,,,1.0,1.0
2016-11-24 13:00:00,0.0,1.24636,True,Short,13,,,1.0,1.0
2017-01-05 11:00:00,52.3,1.23035,True,Long,11,1.0,1.0,,
2017-01-13 13:00:00,25.0,1.2185,True,Short,13,,,1.0,1.0
2018-01-10 14:00:00,23.4,1.35272,True,Short,14,,,1.0,1.0
2018-04-13 10:00:00,60.3,1.42525,True,Long,10,1.0,1.0,,
2018-05-30 12:00:00,0.0,1.32739,True,Short,12,,,1.0,1.0
2018-07-11 18:00:00,63.2,1.32508,True,Short,18,,,1.0,1.0
2018-10-18 15:00:00,37.1,1.31078,True,Short,15,,,1.0,1.0
2019-02-21 11:00:00,56.1,1.30665,True,Short,11,,,1.0,1.0
2019-03-22 12:00:00,35.8,1.31505,True,Long,12,1.0,1.0,,
2019-05-13 15:00:00,50.0,1.30128,True,Short,15,,,1.0,1.0
2019-06-04 13:00:00,25.0,1.26665,True,Long,13,1.0,1.0,,
2019-06-21 14:00:00,50.0,1.26616,True,Long,14,1.0,1.0,,
2019-06-27 15:00:00,20.3,1.27033,True,Short,15,,,1.0,1.0
2019-08-05 12:00:00,25.0,1.21353,True,Long,12,1.0,1.0,,
2019-08-14 15:00:00,25.0,1.20689,True,Short,15,,,1.0,1.0
2019-10-03 11:00:00,25.0,1.22862,True,Long,11,1.0,1.0,,
2019-10-09 13:00:00,0.0,1.22322,True,Short,13,,,1.0,1.0
2019-12-20 13:00:00,0.0,1.302,True,Short,13,,,1.0,1.0
2020-06-19 11:00:00,0.0,1.24335,True,Short,11,,,1.0,1.0
2020-06-30 11:00:00,0.0,1.22824,True,Long,11,1.0,1.0,,
2020-07-30 11:00:00,97.1,1.29849,True,Long,11,1.0,1.0,,
2020-10-19 14:00:00,25.0,1.29949,True,Short,14,,,1.0,1.0
2021-02-16 17:00:00,94.3,1.39269,True,Long,17,1.0,1.0,,
2021-06-16 12:00:00,25.0,1.41033,True,Short,12,,,1.0,1.0
2021-07-07 16:00:00,25.0,1.38214,True,Short,16,,,1.0,1.0
2021-08-24 13:00:00,50.0,1.37105,True,Long,13,1.0,1.0,,
2022-01-10 17:00:00,62.6,1.35603,True,Long,17,1.0,1.0,,
2022-01-11 16:00:00,87.0,1.35738,True,Long,16,1.0,1.0,,
2022-03-11 14:00:00,25.0,1.30919,True,Short,14,,,1.0,1.0
2022-04-06 14:00:00,50.0,1.30832,True,Short,14,,,1.0,1.0
2022-04-19 13:00:00,25.0,1.30284,True,Short,13,,,1.0,1.0
2022-07-29 14:00:00,85.7,1.21826,True,Long,14,1.0,1.0,,
2022-07-29 18:00:00,85.4,1.2162,True,Long,18,1.0,1.0,,
2022-12-28 15:00:00,25.0,1.20837,True,Short,15,,,1.0,1.0
2023-06-29 12:00:00,0.0,1.26457,True,Short,12,,,1.0,1.0
2023-12-11 14:00:00,0.0,1.25771,True,Short,14,,,1.0,1.0
2024-02-16 17:00:00,25.0,1.2584,True,Long,17,1.0,1.0,,
2024-03-29 16:00:00,25.0,1.2638,True,Short,16,,,1.0,1.0
2024-05-14 16:00:00,51.1,1.2553,True,Long,16,1.0,1.0,,
2024-11-19 12:00:00,25.0,1.26353,True,Long,12,1.0,1.0,,
2025-01-16 16:00:00,50.0,1.21973,True,Long,16,1.0,1.0,,
2025-08-20 12:00:00,27.7,1.35003,True,Short,12,,,1.0,1.0
