Datetime_Kyiv,Trend_%,Close_Price,Direction,CPI_Match_Fade_Long,Outcome,CPI_Match_Fade_Short
2004-05-14 15:00:00,50.0,1.7517,Long,1.0,Win,
2006-10-18 15:00:00,25.0,1.8722,Long,1.0,Loss,
2010-02-19 15:00:00,50.6,1.5396,Long,1.0,Win,
2013-08-15 15:00:00,56.1,1.55851,Short,,Loss,1.0
2015-01-16 15:00:00,25.0,1.5182,Long,1.0,Loss,
2017-02-15 15:00:00,25.0,1.2394,Long,1.0,Win,
2018-02-14 15:00:00,25.0,1.38327,Long,1.0,Win,
2018-08-10 15:00:00,0.0,1.27782,Long,1.0,Loss,
2019-10-10 15:00:00,0.0,1.22319,Short,,Loss,1.0
2020-03-11 14:00:00,69.1,1.29395,Short,,Win,1.0
2021-09-14 15:00:00,7.4,1.3853,Short,,Win,1.0
2022-01-12 15:00:00,87.1,1.36766,Short,,Loss,1.0
2023-08-10 15:00:00,25.0,1.27629,Short,,Win,1.0
2023-12-12 15:00:00,25.0,1.25428,Short,,Loss,1.0
2024-06-12 15:00:00,50.5,1.27598,Short,,Loss,1.0
2024-10-10 15:00:00,25.0,1.30666,Short,,Win,1.0
2025-01-15 15:00:00,25.0,1.22975,Long,1.0,Loss,
2025-04-10 15:00:00,50.0,1.29313,Short,,Loss,1.0
2026-02-13 15:00:00,0.0,1.36331,Long,1.0,Win,
