Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,CPI_Momentum_Long,Outcome,Entry,SL,TP,CPI_Momentum_Short
2010-02-16 10:00:00,50.0,1.5708,Yes,Long,1.0,Win,1.5708,0,0,
2011-10-18 09:00:00,94.0,1.5806,Yes,Long,1.0,Loss,1.5806,0,0,
2021-08-18 09:00:00,50.0,1.37427,Yes,Long,1.0,Win,1.37427,0,0,
2022-08-17 09:00:00,0.0,1.21194,Yes,Long,1.0,Loss,1.21194,0,0,
2022-10-19 09:00:00,29.5,1.13224,Yes,Short,,Win,1.13224,0,0,1.0
2022-11-16 09:00:00,86.8,1.18918,Yes,Long,1.0,Loss,1.18918,0,0,
2023-03-15 09:00:00,56.7,1.21564,Yes,Long,1.0,Loss,1.21564,0,0,
2023-03-22 09:00:00,86.8,1.2259,Yes,Long,1.0,Loss,1.2259,0,0,
2023-04-19 09:00:00,25.0,1.24112,Yes,Short,,Loss,1.24112,0,0,1.0
2023-05-24 09:00:00,0.0,1.24355,Yes,Long,1.0,Loss,1.24355,0,0,
2023-06-21 09:00:00,42.7,1.2761,Yes,Short,,Win,1.2761,0,0,1.0
2023-12-20 09:00:00,51.1,1.2663,Yes,Short,,Loss,1.2663,0,0,1.0
2025-12-17 09:00:00,46.8,1.33226,Yes,Short,,Loss,1.33226,0,0,1.0
