Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,NFP_Fade_Long,Outcome,Entry,SL,TP,NFP_Fade_Short
2004-04-02 15:00:00,50.1,1.8485,Yes,Long,1.0,Loss,1.8485,1.8465,1.8525,
2004-04-02 16:00:00,50.1,1.8289,Yes,Long,1.0,Win,1.8289,1.8269,1.8329,
2007-07-06 15:00:00,38.4,2.0096,Yes,Long,1.0,Loss,2.0096,2.0076,2.0136,
2007-07-06 16:00:00,38.4,2.0087,Yes,Long,1.0,Win,2.0087,2.0067,2.0127,
2011-05-06 15:00:00,0.0,1.6417,Yes,Long,1.0,Loss,1.6417,1.6397,1.6457,
2011-05-06 16:00:00,0.0,1.6426,Yes,Short,,Loss,1.6426,1.6446,1.6386,1.0
2012-08-03 15:00:00,2.8,1.55658,Yes,Long,1.0,Loss,1.55658,1.55458,1.56058,
2012-08-03 16:00:00,2.8,1.55527,Yes,Long,1.0,Win,1.55527,1.55327,1.55927,
2013-05-03 15:00:00,43.1,1.55558,Yes,Short,,Win,1.55558,1.55758,1.55158,1.0
2015-02-06 15:00:00,66.1,1.52946,Yes,Long,1.0,Loss,1.52946,1.52746,1.53346,
2015-02-06 16:00:00,66.1,1.52615,Yes,Long,1.0,Loss,1.52615,1.52415,1.53015,
2015-06-05 15:00:00,50.0,1.53341,Yes,Short,,Win,1.53341,1.53541,1.52941,1.0
2015-11-06 15:00:00,26.5,1.50451,Yes,Long,1.0,Win,1.50451,1.50251,1.50851,
2016-07-08 15:00:00,50.0,1.29746,Yes,Long,1.0,Loss,1.29746,1.29546,1.30146,
2016-07-08 16:00:00,50.0,1.29544,Yes,Long,1.0,Win,1.29544,1.29344,1.29944,
2017-07-07 15:00:00,25.3,1.28989,Yes,Short,,Loss,1.28989,1.29189,1.28589,1.0
2017-07-07 16:00:00,25.3,1.28756,Yes,Long,1.0,Loss,1.28756,1.28556,1.29156,
2018-07-06 15:00:00,50.0,1.32291,Yes,Long,1.0,Win,1.32291,1.32091,1.32691,
2018-11-02 15:00:00,25.0,1.29922,Yes,Long,1.0,Loss,1.29922,1.29722,1.30322,
2018-11-02 18:00:00,25.0,1.29646,Yes,Long,1.0,Win,1.29646,1.29446,1.30046,
2019-06-07 15:00:00,26.3,1.27083,Yes,Long,1.0,Win,1.27083,1.26883,1.27483,
2019-07-05 15:00:00,0.0,1.255,Yes,Short,,Win,1.255,1.257,1.251,1.0
2020-02-07 15:00:00,0.0,1.29333,Yes,Long,1.0,Loss,1.29333,1.29133,1.29733,
2020-02-07 18:00:00,0.0,1.29057,Yes,Long,1.0,Loss,1.29057,1.28857,1.29457,
2021-07-02 15:00:00,0.0,1.37414,Yes,Short,,Loss,1.37414,1.37614,1.37014,1.0
2021-07-02 16:00:00,0.0,1.37797,Yes,Short,,Loss,1.37797,1.37997,1.37397,1.0
2022-02-04 15:00:00,54.4,1.3512,Yes,Long,1.0,Loss,1.3512,1.3492,1.3552,
2022-09-02 15:00:00,0.0,1.15593,Yes,Long,1.0,Loss,1.15593,1.15393,1.15993,
2022-09-02 16:00:00,0.0,1.15392,Yes,Long,1.0,Win,1.15392,1.15192,1.15792,
2023-06-02 15:00:00,26.0,1.25217,Yes,Long,1.0,Loss,1.25217,1.25017,1.25617,
2023-09-01 15:00:00,50.0,1.26703,Yes,Long,1.0,Win,1.26703,1.26503,1.27103,
2023-10-06 15:00:00,50.0,1.22119,Yes,Short,,Win,1.22119,1.22319,1.21719,1.0
2024-01-05 15:00:00,50.0,1.26571,Yes,Long,1.0,Win,1.26571,1.26371,1.26971,
2024-03-08 15:00:00,72.7,1.28636,Yes,Short,,Loss,1.28636,1.28836,1.28236,1.0
2024-03-08 16:00:00,72.7,1.28783,Yes,Short,,Win,1.28783,1.28983,1.28383,1.0
2024-06-07 15:00:00,61.0,1.28072,Yes,Short,,Win,1.28072,1.28272,1.27672,1.0
2024-07-05 15:00:00,67.6,1.27842,Yes,Long,1.0,Loss,1.27842,1.27642,1.28242,
2024-07-05 16:00:00,67.6,1.28027,Yes,Short,,Loss,1.28027,1.28227,1.27627,1.0
2025-02-07 15:00:00,25.0,1.243,Yes,Long,1.0,Loss,1.243,1.241,1.247,
2025-02-07 17:00:00,25.0,1.24239,Yes,Long,1.0,Loss,1.24239,1.24039,1.24639,
2025-08-01 15:00:00,0.0,1.31578,Yes,Long,1.0,Win,1.31578,1.31378,1.31978,
2025-11-20 15:00:00,0.0,1.30957,Yes,Short,,Loss,1.30957,1.31157,1.30557,1.0
2025-11-20 16:00:00,0.0,1.31112,Yes,Short,,Win,1.31112,1.31312,1.30712,1.0
2025-12-05 15:00:00,63.5,1.33504,Yes,Short,,Win,1.33504,1.33704,1.33104,1.0
2025-12-16 15:00:00,46.9,1.34255,Yes,Long,1.0,Loss,1.34255,1.34055,1.34655,
2025-12-16 17:00:00,46.9,1.34155,Yes,Long,1.0,Loss,1.34155,1.33955,1.34555,
2026-02-06 15:00:00,25.0,1.35884,Yes,Long,1.0,Win,1.35884,1.35684,1.36284,
